premise,choice1,choice2,question,idx,label,Terminology,Culture,Language
Aku disuruh membeli beras di supermarket dengan ukuran paling kecil.,Aku membawa pulang beras 3 sendok makan.,Aku membawa pulang beras 5 kg.,effect,207,1,0,1,0
Nasi kemarin malam tidak habis.,Mama masak nasi kebuli pagi ini.,Mama masak nasi goreng pagi ini.,effect,208,1,1,1,0
Sangkuriang menendang perahu.,Perahunya menjadi gunung.,Perahunya hanyut ke laut.,effect,209,0,1,1,0
Hari ini mall sedang sepi pengunjung.,Hari ini tanggal tua.,Hari ini tanggal muda.,cause,210,0,0,1,1
Anak itu hidup sebatang kara.,Anak itu seorang yatim piatu.,Anak itu bekerja menjadi petani.,cause,211,0,0,0,1
Para pemuda rela mati demi berjuang pada zaman penjajahan.,Kemerdekaan NKRI harga mati.,Harga kemerdekaan NKRI mati.,cause,212,0,0,1,1
Anak SD itu sering sekali pergi ke perpustakaan kota.,Dia bekerja sebagai pustakawan.,Dia seorang kutu buku.,cause,213,1,0,0,1
Klien angkat kaki dari rapat.,Klien merasa kakinya pegal.,Klien kecewa dengan proposal rapat.,cause,214,1,0,0,1
Adik terus membangkang perintah bapak.,Bapak menjadi besar kepala.,Bapak menjadi naik pitam .,effect,215,1,0,0,1
Aku gagal menjadi polisi.,Aku menjadi rusak hati.,Aku menjadi kecil hati.,effect,216,1,0,0,1
Rumah tetangga saya baru saja dibobol maling.,Dia menggigit jarinya.,Dia cuma bisa gigit jari.,effect,217,1,0,0,1
Orang itu menjadi kaki tangan teroris.,Orang itu terdakwa bersalah.,Orang itu menjadi tawanan.,effect,218,0,0,0,1
Perusahaan tersebut terus merugi selama 1 tahun terakhir.,Perusahaan tersebut gulung tikar.,Perusahaan tersebut sampah masyarakat.,effect,219,0,0,0,1
Orang dari eropa terkena diare.,Orang itu makan makanan yang dibeli di pinggir jalan.,Orang itu makan makanan yang dibeli di Restoran Warteg.,cause,220,0,1,1,0
Ada anak kecil mual dan muntah.,Anak itu minum air keran.,Anak itu minum air galon.,cause,221,0,0,1,0
Motor itu berlawanan arah jalan.,Destinasi perjalanannya dekat.,Tidak ada mobil di jalan.,cause,222,0,0,1,0
Murid sekolah berkumpul di lapangan sekolah setiap jam 7 pagi hari senin.,Ada acara ramah tamah mingguan di sekolah itu.,Ada upacara bendera mingguan di sekolah itu.,cause,223,1,0,1,0
Anak itu dimarahi orang tuanya.,Anak itu makan dengan tangan kiri.,Anak itu makan dengan tangan kanan.,cause,224,0,0,1,0
"Menjelang lebaran, langit terlihat tidak kosong dan terdengar bunyi bising.",Anak-anak banyak bermain petasan di lapangan.,Polusi suara dan udara masif dikeluarkan oleh pabrik.,cause,225,0,1,1,0
Ibu itu dilarang tawar menawar harga.,Ibu itu belanja di supermarket.,Ibu itu belanja di pasar.,cause,226,0,0,1,0
Ibu itu punggungnya merah.,Ibu itu dikerok oleh anaknya.,Ibu itu ditaburi bedak oleh anaknya.,cause,227,0,1,0,0
Kucing itu terkenal sangat ganas.,Kucing itu berwarna hitam.,Kucing itu berwarna oranye.,cause,228,1,0,1,0
Warga kampung Jakarta bahu membahu membersihkan got kampung mereka.,Warga tersebut mengaplikasikan semangat gotong royong.,Warga tersebut mengaplikasikan semangat bhinneka tunggal ika.,cause,229,0,1,1,0
Siswa-siswa baru SMA sedang dimarahi oleh kakak kelasnya.,Sedang ada upacara bendera.,Sedang ada masa orientasi sekolah.,cause,230,1,1,1,0
Seorang pemuda laki-laki memakai baju batik.,Pemuda itu berada di acara pernikahan.,Pemuda itu berada di diskotik.,cause,231,0,1,1,0
Di sekolah tadi saya berada dalam bahaya.,Ada insiden penembakan masal di sekolah saya.,Saya hampir tertabrak mobil saat ujian praktek penjaskes.,cause,232,1,0,1,0
Ada lomba makan kerupuk.,hari ini hari proklamasi kemerdekaan indonesia.,Hari ini hari pancasila.,cause,233,0,1,1,0
Anak-anak itu menggambar kotak-kotak menggunakan kapur di jalan.,Anak-anak itu ingin bermain bekel.,Anak-anak itu ingin bermain engklek.,cause,234,1,1,1,0
Orang itu ditangkap polisi.,Orang itu membawa pistol.,Orang itu membawa pisau.,cause,235,0,0,1,0
Ada bendera warna kuning polos di dekat rumah tetangga.,ada tetangga yang meninggal.,ada tetangga yang mengingatkan menyetir pelan.,cause,236,0,0,1,0
Orang itu terlalu banyak minum air.,Orang itu membuang air seni.,Orang itu membuang air hiasan.,cause,237,0,0,0,1
Orang itu pergi ke McD.,Ia ingin memakan ayam dengan sagu.,Ia ingin memakan ayam dengan nasi.,cause,238,1,0,1,0
Orang itu memakai kopiah.,Orang itu menjadi penghulu pernikahan.,Orang itu menjadi pembawa acara quiz.,cause,239,0,1,1,0
Seseorang mengenakan sepatu saat ingin masuk ke rumah mertua.,Orang tersebut memakainya sepatunya kerumah.,Orang tersebut melepas sepatunya sebelum masuk kerumah.,effect,240,1,0,1,0
Kita diberikan suatu hadiah.,Kita ambil dengan tangan kiri.,Kita ambil dengan tangan kanan.,effect,241,1,0,1,0
Penumpang angkutan umum ingin turun di jalan.,"Penumpang teriak ""kanan"".",Penumpang Teriak “kiri”.,effect,242,1,0,1,0
Orang itu akan menyebrang jalan raya.,Orang itu memakai tangannya sebagai tanda akan menyebrang.,Orang itu memakai bendera merah sebagai tanda akan menyebrang.,effect,243,0,0,1,0
Pembuat gedung 20 lantai penganut ajaran fengshui.,Gedung itu tidak memiliki desain khas Nusantara.,Gedung itu tidak memiliki lantai 4.,effect,244,1,0,1,0
Pemuda Indonesia tersebut selesai membuang air besar.,Pemuda tersebut membersihkan pantatnya dengan tisu.,Pemuda tersebut membersihkan pantatnya dengan air.,effect,245,1,0,1,1
Anak-anak kampung melihat orang Eropa paruh baya.,"Anak-anak kampung itu memanggil orang tersebut ""mas"".","Anak-anak kampung itu memanggil orang tersebut ""mister"".",effect,246,1,1,1,0
Saat bulan ramadhan ada tambahan upah diberikan ke karyawan.,Perusahaan wajib memberikan uang makan untuk karyawan yang sedang puasa.,Perusahaan wajib memberikan THR ke karyawan.,effect,247,1,1,1,0
Sekelompok wisatawan pergi ke Bunaken.,Sekelompok Wisatawan tersebut mendaki gunung.,Sekelompok wisatawan tersebut menyelam ke laut.,effect,248,1,1,1,0
Satu keluarga yang tidak mampu ingin menyekolahkan anaknya.,Anaknya disekolahkan ke sekolah swasta.,Anaknya disekolahkan ke sekolah negeri.,effect,249,1,0,1,0
40 hari setelah wafatnya seorang muslim di suatu perumahan.,Di perumahan itu diadakan pesta dansa.,Di perumahan itu diadakan tahlilan.,effect,250,1,1,1,0
Seorang karyawan perusahaan berangkat jam 7 pagi menuju Jakarta Pusat.,Karyawan tersebut terjebak macet.,Karyawan tersebut tidak terjebak macet.,effect,251,0,1,1,0
Orang itu bernama Haryo.,Orang itu berasal dari Padang.,Orang itu berasal dari Jawa.,effect,252,1,1,1,0
Hari ini tanggal 31 Oktober.,Seisi kota tidak dihiasi alat properti haloween.,Seisi kota dihiasi alat properti haloween.,effect,253,0,1,0,0
Guru masuk di awal pelajaran siswa sekolah dasar.,Ketua kelas memberi aba-aba salam.,Ketua kelas memberi aba-aba belajar.,effect,254,0,0,1,0
Orang itu parkir motor di depan indomaret.,Orang itu diminta bayar biaya parkir ke penjaga parkir.,Orang itu bayar biaya parkir ke kasir Indomaret.,effect,255,0,1,1,0
Ayah penyayang binatang.,Ayah punya perkutut di rumah.,Ayah punya wayang di rumah.,effect,256,0,1,1,0
Anak kecil itu menaruh tangan ke kepala orang tuanya.,Anak kecil itu menaruh tangan ke punggung orang tuanya.,Anak kecil itu dimarahi orang tua.,effect,257,1,0,1,0
Orang itu ingin makan rendang.,Orang itu ke restoran sederhana.,Orang itu ke restoran warteg.,effect,258,0,1,1,0
Anak itu pengecut dalam menghadapi masalah.,Anak itu dijuluki ayam.,Anak itu dijuluki kucing.,effect,259,0,0,1,0
Siswa-siswa pergi ke Taman Banteng.,Mereka berencana wisata kuliner.,Mereka berencana Wisata sejarah.,cause,260,1,1,0,0
Menkominfo tersangkut korupsi BTS.,Menkominfo diperiksa KPK terkait pengadaan konser. .,Menkominfo diperiksa KPK terkait pengadaan pembangunan.,cause,261,1,1,0,0
Ada kemacetan di Jalan Pantura di Jawa.,Hari ini hari mudik lebaran.,Hari ini hari kerja.,cause,262,0,1,0,0
Siswa SMA dihukum oleh guru sekolah.,Siswa itu baru datang ke sekolah pukul 6.,Siswa itu baru datang ke sekolah pukul 8.,cause,263,1,1,1,0
Orang itu menonton video Cak Lontong.,Orang itu mencari pengetahuan makanan.,Orang itu mencari hiburan lawakan.,cause,264,1,1,0,0
Keluaga itu belangganan PAM.,Keluarga itu membutuhkan asupan air bersih.,Keluarga itu membutuhkan listrik.,cause,265,0,1,0,0
Banyak ondel-ondel di suatu lapangan.,Lapangan tersebut digunakan untuk festival ulang tahun Jakarta.,Lapangan tersebut digunakan untuk festival ulang tahun Surabaya.,cause,266,0,1,0,0
Orang itu punya alergi ketan.,Orang itu menghindari makan kue memek.,Orang itu menghindari makan kue lapis.,cause,267,0,1,0,0
Kendaraan tersebut melambatkan jalannya.,ada polisi lalu lintas di depan mata.,ada polisi tidur di depan mata.,cause,268,1,1,0,1
Mahasiswa itu memakai jaket kuning.,Mahasiswa itu mahasiswa UI.,Mahasiswa itu mahasiswa ITB.,cause,269,0,1,0,0
Dosen itu kolestrolnya naik.,Dosen itu baru saja makan gado-gado.,Dosen itu baru saja makan rendang.,cause,270,1,1,0,0
Orang itu disebut tinggal di luar planet.,Orang itu tinggal di Kemang.,Orang itu tinggal di Bekasi.,cause,271,1,1,0,0
Orang itu memilih untuk ke Bandara Halim dibandingkan Bandara Soekarno Hatta.,Orang itu tinggal di Tangerang.,Orang itu tinggal di Jakarta Timur.,cause,272,1,1,0,0
Orang itu meminum Tolak Angin.,Orang itu tidak sehat.,Orang itu ingin kuat di daerah berangin.,cause,273,0,1,0,0
Ada kendaraan memutar audio digoreng dadakan.,Penjualnya menandakan berjualan tahu bulat.,Penjualnya menandakan berjualan makanan siap saji.,cause,274,0,1,0,0
Orang itu membutuhkan KBBI.,Orang itu ingin mengecek ejaan tulisan bahasa indonesianya.,Orang itu ingin mengecek pengetahuan budaya Indonesia.,cause,275,0,1,0,0
Buah itu disemuti oleh semut hitam.,Buat Rambutan itu dibiarkan terbuka di meja makan.,Buah pisang itu dibiarkan terbuka di meja makan.,cause,276,0,1,0,0
Orang itu berdagang secara online di Indonesia.,Orang itu berdagang di Amazon.,Orang itu berdagang di Tokopedia.,cause,277,1,1,0,0
Seorang kontestan Masterchef dimarahi.,Jurinya yaitu Chef Renata.,Jurinya yaitu Chef Juna.,cause,278,1,1,0,0
Langit jakarta sangat gelap.,Saat ini sedang musim dingin.,Jakarta terkena polusi udara.,cause,279,1,1,0,0
Mahasiswa itu ingin berhemat.,Mahasiswa itu makan KFC tiap hari.,Mahasiswa itu makan indomie tiap hari.,effect,280,1,1,0,0
Sekelompok orang tua ingin merayakan keberhasilan promosinya dengan makanan nuansa lokal.,Orang tua itu merayakan dengan memesan Pizza.,Orang tua itu merayakan dengan memesan nasi tumpeng.,effect,281,1,1,0,0
Seorang pemuda pergi ke Pasar Senen di Jakarta.,Pemuda itu naik kereta commuter line.,Pemuda itu naik kereta jarak jauh.,effect,282,0,1,0,0
Orang itu masuk angin.,Orang itu minum antangin.,Orang itu minum fresh tea.,effect,283,0,1,0,1
Pemuda itu punggungnya pegal.,Pemuda itu pakai plaster di punggungnya.,Pemuda itu pakai koyo di punggungnya.,effect,284,1,1,1,0
Seorang direktur utama di BUMN membuat postingan di grup WhatsApp.,Karyawan di grup itu merespon dengan emoticon '❤️'.,Karyawan di grup itu merespon dengan emoticon '👍'.,effect,285,1,1,1,0
Orang Jakarta itu membeli tisu roll.,Tisu roll itu digunakan untuk cebok.,Tisu roll itu digunakan untuk lap.,effect,286,1,0,1,0
Kelompok supporter itu mendukung Persija.,Supporter itu memakai baju biru.,Supporter itu memakai baju oren.,effect,287,1,1,0,0
Warga Indonesia itu bekerja di Indonesia.,Orang itu daftar NPWP.,Orang itu daftar wajib militer.,effect,288,0,1,0,0
Anak itu ingin melihat jenis-jenis binatang.,Orang itu pergi ke TMII.,Orang itu pergi ke Ragunan.,effect,289,1,1,0,0
Pemuda itu suka lagu dangdut.,Pemuda itu suka mendengarkan lagu Dewi Persik.,Pemuda itu suka mendengarkan lagu Sheila On 7.,effect,290,0,1,0,0
Orang itu tidak boleh makanan dingin.,Orang itu dilarang membeli Mixue.,Orang itu dilarang membeli Nasi Uduk.,effect,291,0,1,0,0
"Di hari lebaran, laki-laki itu pergi ke puncak di Bogor.",Orang itu terjebak macet.,Jalanan ke puncah bogor lancar.,effect,292,0,1,0,0
Perempuan itu pergi ke Gramedia.,Perempuan itu ingin membeli buku.,Perempuan itu ingin konsultasi tentang media sosial.,effect,293,0,1,0,0
Bapak-bapak membuat grup komunitas untuk chatting.,Bapak-bapak itu memakai LINE.,Bapak-bapak itu memakai Whatsapp.,effect,294,1,1,0,0
Orang itu perlu memeluk sesuatu saat tidur.,Orang itu membeli kucing.,Orang itu membeli guling.,effect,295,1,0,1,0
Orang itu mementingkan keselematan diri.,Orang itu naik Transjakarta.,Orang itu naik Kopaja.,effect,296,0,1,0,0
Masakan itu berasal dari Jawa Tengah.,Masakan itu pedas.,Masakan itu tidak pedas.,effect,297,1,1,0,0
Orang itu bepergian.,Orang itu memesan dengan aplikasi Gojek.,Orang itu memesan dengan aplikasi uber.,effect,298,0,1,0,0
Piring itu kotor.,Orang itu memakai sabun Nuvo untk mencucinya.,Orang itu memakai sabun Sunlight untuk mencucinya.,effect,299,1,1,0,0
Anak itu memakan Nasi Padang.,Anak itu makan dengan sumpit.,Anak itu makan dengan tangan.,cause,300,1,1,1,0
Pemerintah bagi-bagi sembako LPG ke orang miskin.,Orang miskin itu membutuhkannya untuk memandikan anak.,Orang miskin itu membuthkannya untuk memasak.,cause,301,1,1,1,0
Seorang pengemudi ojek online ingin menurunkan penumpang.,Penumpang diturunkan di tempat pangkalan ojek.,Penumpang diturunkan di halte.,cause,302,1,0,1,0
Orang Muslim Indonesia merasa aman memakan suatu makanan di restoran.,Restoran tersebut memiliki logo halal MUI.,Penjaga restorannya berjilbab.,cause,303,0,1,1,0
Orang itu tiba-tiba berkata 'mari pak'.,Orang itu melewati seorang bapak.,Orang itu memberi petunjuk jalan ke bapaknya.,cause,304,0,0,1,0
Ibu itu memilih untuk tidak berbelanja bahan baku di Indomart.,Ibu itu tidak bisa tawar-menawar.,Ibu itu tidak bisa mendapat diskon.,cause,305,0,1,1,0
Orang itu pergi ke pijat refleksi.,Orang itu sakit flu.,Orang itu pegal-pegal.,cause,306,1,1,0,0
Orang Jakarta berbaju warna oren datang ke stadium gelora bung karno .,Tim Persija sedang bertanding.,Tim Persebaya sedang bertanding.,cause,307,0,1,0,0
Transjakarta biayanya menjadi RP 1.,Hari ini hari kemerdekaan Indonesia.,Hari ini ulang tahun Jakarta.,cause,308,1,1,0,0
Paman ingin lebaran dan memilih pesawat Super Jet.,Paman ingin berhemat .,Paman memilih keyamanan.,cause,309,0,1,0,0
Orang muslim tersebut ingin minum yang hangat-hangat.,Orang itu minum bir bintang.,Orang itu minum wedang jahe.,effect,310,1,1,0,0
Anak itu dimarahi ibunya.,Anak itu selalu beli minuman panas.,Anak itu selalu beli minuman es.,effect,311,1,0,1,0
Bapak Jokowi datang ke suatu pertemuan.,Tentara membungkukan badannya.,Tentara hormat kepadanya.,effect,312,1,1,1,0
Hari ini lebaran idul adha.,Beberapa orang Jakarta sholat di Santa Maria.,Beberapa orang Jakarta Sholat di Istiqlal.,effect,313,1,1,1,0
Ibu itu ingin merayakan kelulusan dengan nuansa padang.,Ibu itu merayakan di Restoran Sederhana.,Ibu itu merayakan di Restoran Warteg.,effect,314,0,1,1,0
Saat ini berlangsung jam Istirahat Kerja kantor.,Orang orang pergi ke Waterboom.,Orang orang pergi ke Warteg.,effect,315,1,1,1,0
Anak itu mengisi acara Festival Seni Budaya Bandung.,Anak itu mengisi dengan memerankan Ondel-Ondel.,Anak itu mengisi dengan memainkan Angklung.,effect,316,1,1,0,0
Pegawai PNS sedang beristirahat.,Pegawai itu bermain Lompat Tali.,Pegawai itu bermain ZUMA.,effect,317,1,1,0,0
Ayam itu berkokok.,Pasar Tradisional buka jam dagang.,Indomaret buka jam dagang.,effect,318,0,1,1,0
Orang itu butuh kehangatan di badan.,Orang itu melumuri badannya dengan lifebouy.,Orang itu melumuri badannya dengan Vix.,effect,319,1,1,0,0
Bos perusahaan itu kebakaran Jenggot.,Perusahaan itu naik daun.,Perusahaan itu pailit.,cause,320,1,0,0,1
Anak itu melakukan apel pagi.,Apel pagi dilakukan karena budaya sarapan bersama dengan buah Apel.,Apel pagi dilakukan untuk menghormati kemerdekaan Indonesia.,cause,321,1,0,0,1
Berita itu digoreng di media sosial.,Perusahaan AI di Indonesia merekrut seorang PHD dari luar negeri.,Perusahaan AI ternama di Indonesia melakukan pemecatan massal.,cause,322,1,0,1,1
Orang itu masih hijau di dunia karir.,Orang itu badannya berwarna hijau.,Orang itu baru lulus kuliah.,cause,323,1,0,0,1
Professor itu viral di Indonesia.,Professor itu terkena skandal perceraian.,Professor itu publikasi paper di konferensi internasional.,cause,324,0,0,1,0
Orang itu keras kepala.,Orang itu susah diajak kerjasama.,Orang itu bisa bertengkar dengan kepalanya.,effect,325,0,0,0,1
Anak itu sangat aneh gerak-geriknya.,Anak itu menjadi kuda hitam tetangga.,Anak itu menjadi buah bibir tetangga.,effect,326,1,0,0,1
Kita berdua memilih untuk empat mata.,Mereka membeli kacamata.,Mereka menuju ke tempat yang enak untuk berdiskusi.,effect,327,1,0,0,1
Karyawan itu ingin mendapatkan promosi.,Karyawan itu cari muka ke pemimpinnya.,Karyawan itu rendah hati ke pemimpinnya.,effect,328,0,0,0,1
Pria itu berhidung belang.,Pria itu disukai wanita.,Pria itu dibenci wanita.,effect,329,1,0,0,1
Banyak orang segan membeli rumah tersebut.,Rumah itu dikenal sebagai rumah tusuk sate.,Posisi rumah tersebut menghadap utara.,cause,330,0,1,1,0
mereka berjanji untuk bertemu sebelum magrib.,mereka bertemu pukul 19.00.,mereka bertemu pukul 17.00.,cause,331,1,0,1,0
Dia membuat lontong.,Dia memiliki daun kelapa muda.,Dia memiliki daun pisang.,cause,332,1,1,0,0
Di depan rumahnya terpasang bedera kuning.,Ada keluarganya yang berulang tahun.,Ada keluarganya yang meninggal.,cause,333,1,0,1,0
"Di depan gedung itu, terpasang janur kuning yang melengkung.",Ada acara pernikahan di gedung itu.,Ada acara ulang tahun di gedung itu.,cause,334,0,0,1,0
Dia nyeker di pasar.,Ia membeli ceker di pasar.,Sandal yang ia pakai rusak.,cause,335,1,0,0,1
"Kemarin malam, ia baru selesai jaga lilin.",ia adalah orang yang taat beribadah.,ia percaya dengan ilmu hitam.,cause,336,1,0,1,1
Nama belakangnya adalah Hutabarat.,Ia adalah orang Batak.,Ia adalah orang Minang.,cause,337,0,1,1,0
Wanita berhijab itu baru saja meninggal.,Jasad wanita itu akan dimakamkan.,Jasad wanita itu akan dibakar.,effect,338,0,0,1,0
laki-laki itu dikenal sebagai buaya darat.,laki-laki itu adalah orang yang setia.,laki-laki itu suka selingkuh.,cause,339,1,1,0,1
Dia dikenal sebagai orang yang ngaret.,Dia suka bermain karet.,Dia suka datang telat.,cause,340,1,0,0,1
Wanita itu sedang datang bulan.,Wanita itu pulang istirahat di rumah.,Wanita itu pergi beribadah ke pura.,cause,341,0,0,1,1
Ia memakai masker.,Ia akan mengendarai motor di kota.,Ia ingin terlihat gaul .,cause,342,0,0,1,1
Ia berusaha menjadi orang yang tidak serakah.,Ia mengamalkan pesan moral Sang Kuriang.,Ia mengamalkan pesan moral bawang merah bawang putih.,cause,343,1,1,1,0
Namanya keluar di arisan.,Ia pergi makan mewah.,Ia diawasi pegawai pajak.,effect,344,0,1,0,0
Banyak orang mulai flu saat ini.,Banyak orang berjemur di pantai pada siang hari.,Sekarang memasuki musim pancaroba.,cause,345,1,1,1,0
Mereka ingin bermain cangkulan.,Mereka pergi ke sawah.,Mereka mengambil kartu.,effect,346,1,1,0,1
Petani mulai menanam padi.,Sekarang memasuki musim hujan.,Sekarang memasuki musim kemarau.,cause,347,0,0,1,0
Ia mengikuti remedial.,Ia ingin mengerjakan tugas kelompok.,Ia tidak lulus ujian.,cause,348,1,1,0,0
Polisi menutup jalan di kawasan tersebut.,Terdapat aksi unjuk rasa di kawasan tersebut.,Kawasan tersebut sedang hujan.,cause,349,0,1,1,0
Mereka mencium bau melati di koridor sekolah sore itu.,Mereka fokus belajar hingga malam.,Mereka bergegas pulang karena takut.,effect,350,1,0,1,0
Dia merasa masuk angin.,Dia membuka jendela untuk meperbaiki sirkulasi udara.,Dia meminta tolong untuk kerokan.,effect,351,1,1,1,1
Lembaga pemerintah dipenuhi dengan tikus berdasi.,Masyarakat mengeluhkan kinerja pemerintah.,Masyarakat gemar mengirim pestisida kepada pemerintah.,effect,352,0,1,0,1
sekelompok pria keluar gedung pada Jumat siang.,mereka pergi ke masjid.,Mereka pulang ke rumah.,effect,353,0,0,1,0
Kristian hendak beribadah pada hari minggu.,Kristian pergi ke mushola.,Kristian pergi ke gereja.,effect,354,1,0,1,0
Ia tidak mau menjadi Malin Kundang.,Ia berbakti kepada orang tua.,Ia belajar dengan giat.,effect,355,0,1,1,0
BMKG mengumumkan Merapi siaga 4.,Masyarakat diperbolehkan kembali ke rumah.,Masyarakat bergegas mengungsi.,effect,356,1,1,0,0
Hari ini akan diadakan apel pagi.,Mereka membawa keranjang buah.,Mereka memakai dasi dan topi.,effect,357,1,0,1,1
Rumah makan itu menyajikan makanan dengan air koborkan.,Mereka marah-marah ke pemilik rumah makan.,Mereka makan dengan tangan.,effect,358,1,1,0,0
Hari ini tanggal tujuh belas Agustus.,Para murid pergi ke sekolah untuk menghadiri upacara.,Para murid pergi ke sekolah untuk belajar.,effect,359,0,0,1,0
Pasangan itu baru saja melahirkan seorang bayi.,Sang ayah menguburkan ari-ari.,Sang ibu mandi kembang tujuh rupa.,effect,360,0,0,1,0
Ia pergi mudik ke kampung halaman.,Ia bertemu kepala desa.,Ia bertemu sanak saudaranya.,effect,361,1,0,1,1
Ia pulang dengan penuh keringat.,Ia bergegas mandi.,Ia bergegas mencuci pakaian.,effect,362,0,0,1,0
Terdapat banyak nilai merah di rapot nya.,Orangtuanya menyuruh ia belajar lebih giat.,Orangtuanya mengajak ia jalan-jalan liburan.,effect,363,0,0,1,0
Mereka akan mendaftarkan pernikahannya.,Mereka pergi ke DPR.,Mereka pergi ke KUA.,effect,364,1,1,0,0
Ia pergi berlibur.,Sekarang memasuki musim panas.,Hari ini tanggal merah.,cause,365,1,0,1,0
Ia melihat polisi tidur.,Ia memelankan laju kendaraan.,Ia membangunkan polisi.,effect,366,0,1,0,1
Kepala desa membuat jadwal siskamling.,Mereka menyelenggarakan perlombaan di siang hari.,Mereka menjaga keamanan di malam hari.,effect,367,1,1,1,0
Adik tidak ingin nasinya menangis.,Adik tidak makan nasi.,Adik menghabiskan makanannya.,effect,368,1,0,1,1
Mereka merayakan lebaran.,Mereka shalat dan mengunjungi keluarga.,Mereka berjalan-jalan ke luar negeri.,effect,369,0,1,1,0
Ibu menyalakan keran dan selang.,Ibu akan mencuci pakaian.,Ibu akan menyiram tanaman.,cause,370,1,0,1,0
Mereka merayakan tahun baru dua jam lebih cepat dariku.,Mereka tinggal di Jakarta dan aku tinggal di Bali.,Mereka tinggal di Papua dan aku tinggal di Medan.,cause,371,1,1,1,0
Hari ini ia pergi ke sekolah menggunakan seragam berwarna coklat.,Hari ini adalah Hari Pancasila.,Hari ini ada kegiatan pramuka.,cause,372,1,1,1,0
Dia memakai seragam merah putih.,Dia adalah murid SD.,Dia adalah seorang TNI.,cause,373,0,1,1,0
Ia memesan taxi untuk pergi ke Soekarno-Hatta.,Ia akan naik pesawat.,Ia akan bertemu presiden.,cause,374,0,1,1,0
Ia mengeluarkan uang kertas berwarna pink.,Ia memesan makanan seharga seratus ribu rupiah.,Ia membeli gorengan seharga seribu rupiah.,cause,375,0,1,0,0
Ayah membeli bidet baru.,Ayah akan merenovasi toilet.,Ayah akan merenovasi dapur.,cause,376,0,0,1,0
Mereka membeli kelereng.,Mereka akan bermain gundu.,Mereka akan bermain congklak.,cause,377,0,1,0,0
Mereka membeli karet gelang.,Mereka ingin bermain lompat tali.,Mereka ingin bermain gasing.,cause,378,0,1,1,0
Ia akan membuat sate bakar.,Ia memanaskan oven.,Ia mengambil arang dan pemanggang.,cause,379,1,0,1,0
Ia berfoto di depan monumen hiu dan buaya.,Ia berwisata ke Surabaya.,Ia berwisata ke Manado.,cause,380,0,1,1,0
Dia ingin makan manis.,Dia membeli klepon.,Dia membeli rempeyek.,cause,382,0,1,0,0
Dia ingin makan babi panggang.,Dia pergi ke restoran lapo batak.,Dia pergi ke rumah makan padang.,cause,383,0,1,1,0
Banyak mobil dengan plat B memenuhi jalanan Bogor.,Penduduk Bogor sedang berjalan-jalan di akhir pekan.,Banyak orang Jakarta pergi berlibur ke Bogor.,cause,384,1,1,0,0
Ia pergi menggunakan kendaraan beroda tiga.,Ia menaiki ojek.,Ia menaiki bajaj.,cause,385,1,1,0,0
Ia membeli tempe.,Ia mencari sumber protein murah.,Ia mencari sumber karbohidrat murah.,cause,386,0,0,1,0
Ia memesan gado-gado.,Ia suka makan daging sapi.,Ia suka makan sayur.,cause,387,1,1,0,0
Ia pergi ke Semeru.,Ia ingin berenang di laut.,Ia ingin mendaki gunung.,cause,388,1,1,0,0
Ia membeli sekoteng.,Siang ini cuaca sangat panas.,Malam ini udara terasa dingin.,cause,389,1,1,0,0
BJ Habibi adalah idolanya.,Ia mencari beasiswa ke German.,Ia mencari kerja ke Singapura.,effect,390,0,1,0,0
Langit-langit rumah terlihat sangat berdebu.,Ia mengambil kemoceng.,Ia mengambil sapu lidi.,effect,391,0,1,1,0
Ayah memiliki kakaktua.,Ayah memberi makan burung peliharaanya setiap pagi.,Ayah membawa kakak mengungjungi doktor.,effect,392,0,1,0,1
Bank itu memberi bunga yang tinggi.,Ia membeli vas baru.,Uang di tabungannya bertambah.,effect,393,1,0,0,1
"Setiap akhir pekan, kakak bekerja sebagai tukang ojek.",Kakak mendorong gerobak untuk menjual makanan.,Kaka mengeluarkan motornya dari garasi.,effect,394,1,1,1,0
Ia ingin mengikuti jejak Susi Susanti.,Ia berlatih dengan giat menggunakan raket dan kok.,Ia pergi ke kolam renang setiap hari.,effect,395,0,1,0,0
Ia masuk ke gang buntu.,Ia terus berjalan hingga menemukan jalan besar.,Ia putar arah untuk keluar.,effect,396,1,0,1,0
Ia ingin mendaki Gunung Bromo.,Ia pergi ke Kota Lampung.,Ia pergi ke Kota Surabaya.,effect,397,1,1,0,0
Dia memesan menu internet di warkop.,Dia minum kopi.,Dia makan mie.,effect,398,1,1,0,1
Perilaku orang tersebut seperti anjing.,banyak orang yang suka dengannya.,banyak orang yang tidak suka dengannya.,effect,399,1,1,0,1
"Pagi ini, ia memakai pakaian putih abu-abu.",Ia pergi ke Mall.,Ia pergi ke SMA.,effect,400,1,1,1,0
Ia akan memasak ketupat.,Ia membeli daun pisang dan kentang.,Ia membeli daun kelapa dan beras.,effect,401,1,1,0,0
Mereka pakai obat anti nyamuk.,Mereka pergi ke sungai di siang hari.,Mereka pergi ke kebun di malam hari.,cause,402,1,0,1,0
Ia ingin melihat terumbu karang.,Ia pergi ke berenang ke pantai.,Ia pergi belanja ke supermarket.,effect,403,0,0,1,0
Ia kecopetan.,Ia mendapat bunga.,Barangnya hilang.,effect,404,1,1,0,0
Ia ingin melihat padi.,Ia pergi ke sawah.,Ia pergi ke kebun.,effect,405,0,0,1,0
