proverb,conversation,explanation,answer1,answer2,is_figurative,answer_key
Adat pasang berturun naik,"Orang 1: Bagaimana kabarmu belakangan ini? Orang 2: Susah-senang selalu berganti, tapi saya tetap berusaha menghadapinya. Orang 1: Benar sekali, adat pasang berturun naik.","nasib seseorang tidak selalu tetap, senang dan susah silih berganti.",Orang 1 menekankan bahwa nasib manusia sudah di atur jadi tidak perlu dikhawatirkan.,"Orang 1 menekankan bahwa nasib manusia suka berganti, kadang baik kadang buruk.",1.0,b
Air mata jatuh ke perut,"Orang 1: Apa kabar? Kamu terlihat sedih. Orang 2: Iya, sedang ada masalah di rumah. Orang 1: Kenapa tidak cerita saja? Orang 2: Saya tidak mau merepotkan orang lain. Air mata jatuh ke perut saja.",sangat bersedih hati tetapi ditahan/disimpan saja.,Orang 2 tidak mau berbagi permasalahan hidupnya.,Orang 2 ingin cerita permasalahan hidupnya dan mengaharapkan orang 1 untuk bisa membantu.,1.0,a
Alah bisa karena biasa,"Orang 1: Bagaimana kamu bisa menjadi ahli dalam memasak? Orang 2: Saya memasak setiap hari, Alah bisa karena biasa.",Kalah kepandaian oleh perbuatan yang sudah terbiasa.,Orang 2 pandai memasak karena belajar kepada orang 1.,Orang 2 pandai memasak karena sering memasak.,0.0,b
"Angin tak dapat ditangkap, asap tak dapat digenggam","Orang 1: Apa kamu yakin rahasia kita aman? Orang 2: Tentu saja, aku sudah memastikan semuanya terjaga dengan baik. Orang 1: Tapi, kamu tahu kan, angin tak dapat ditangkap, asap tak dapat digenggam.","rahasia tak selamanya dapat disembunyikan, suatu saat akan terbongkar juga.",Orang 1 mengingatkan orang 2 bahwa rahasia mereka bisa terbongkar kapan saja.,Orang 1 mengingatkan orang 2 bahwa rahasia mereka pasti tidak akan terbongkar.,1.0,a
"Anjing menggonggong, kafilah berlalu","Orang 1: Tadi ada teman yang mencemooh kita di belakang, gimana kita harus meresponnya? Orang 2: Tidak perlu merespon, biarkan saja. Anjing menggonggong, kafilah berlalu.","membiarkan orang lain berbicara, mencemooh atau mempergunjingkan seseorang. Tetapi menghiraukanya begitu saja, membiarkan saja. Tidak dimasukkan ke hati.",Orang 2 mengatakan bahwa orang yang mencomoohnya sama dengan anjing.,Orang 2 mengingatkan bahwa tidak perlu menggubris cacian orang lain.,1.0,b
"Antah berkumpul sama antah, beras sama beras","Orang 1: Kenapa kamu selalu bergaul dengan orang-orang yang sama level denganmu? Orang 2: Karena antah berkumpul sama antah, beras sama beras.","setiap orang akan berusaha mencari teman/orang yang setingkat, sekedudukan atau sederajat dengan dirinya.",Orang 2 menegaskan bahwa ia hanya ingin bersosialisasi degan orang yang sederjat dengannya.,Orang 2 menegaskan bahwa ia ingin bergaul dengan siapa saja.,1.0,a
Api padam puntung hanyut,"Orang 1: Apa kabar dengan masalahmu yang dulu? Orang 2: Sudah selesai, api padam puntung hanyut.",perkara/cerita sudah selesai; tak ada lanjutannya lagi.,Masalah Orang 2 baru saja dimulai.,Masalah Orang 2 sudah selesai.,1.0,b
Arang itu jikalau dibasuh dengan air mawar sekalipun tidak akan putih,"Orang 1: Apa kamu sudah mencoba membantu dia berubah dari kebiasaannya yang buruk? Orang 2: Sudah, tapi dia tetap saja tidak mau berubah. Arang itu jikalau dibasuh dengan air mawar sekalipun tidak akan putih.",orang yang sangat jahat sebagaimanapun dinasehati tidak akan berubah kelakuannya.,Orang 2 merasa bahwa temannya sudah tidak bisa lagi dinasehati.,Orang 2 merasa bahwa temannya sudah tidak ingin lagi berteman.,1.0,a
Asam di gunung garam di laut bertemu dalam satu belanga,Orang 1: Aku tidak pernah berpikir bahwa aku akan bertemu dengan pasangan hidupku di luar kota ini. Orang 2: Jodoh memang tak pernah bisa ditebak. Asam di gunung garam di laut bertemu dalam satu belanga.,"jodoh seseorang bisa saja berasal dari tempat yang jauh, tetapi bertemu juga.",jodoh bisa bertemu di daerah sekitar kita.,jodoh bisa bertemu dimana saja.,1.0,b
Awak kalah gelanggang usai,"Orang 1: Bagaimana pertandinganmu tadi? Orang 2: Sial sekali, lawanku terlalu kuat. Awak kalah gelanggang usai.",sial sekali; tidak mempunyai kesempatan untuk membalas kekalahan.,Lawan tanding pertandingan olah raga sangat hebat. Tim kalah bertanding.,Lawan tanding pertandingan olah raga sangat menarik. Mereka berkeja sama dan measa sial.,0.0,a
Ayam ditambat disambar elang,"Orang 1: Apa kabar dengan pacarmu? Orang 2: Dia meninggalkanku untuk orang lain. Orang 1: Sial sekali, apa yang akan kamu lakukan? Orang 2: Apa lagi yang bisa aku lakukan? Ayam ditambat disambar elang.","sial sekali, istri/tunangan dilarikan orang.",Orang 2 menekanan bahwa istri/tunangannya telah meninggal.,Orang 2 menekankan bahwa ia sangat sial karena istri/tunangannya dilarikan oleh orang lain.,1.0,b
Ayam hitam terbang malam,"Orang 1: Apa yang sedang kamu cari tahu tentang masalah itu? Orang 2: Saya sudah mencari tahu, tapi semua informasi yang saya dapatkan tidak jelas dan bertentangan satu sama lain. Orang 1: Sepertinya ini menjadi sebuah masalah yang sulit untuk dipecahkan ya. Orang 2: Ya, memang. Ayam hitam terbang malam.","perkara/persoalan yang gelap, sukar sekali ditelusuri dan diperoleh keterangan.",Masalah yang dihadapi orang 2 merupakan masalah yang sanagat sukar sekali dicari titik terangnya.,Masalah yang dihadapi orang 2 hampir selesai meskipun ini masalah yang rumit.,1.0,a
Ayam menang kampung tergadai,Orang 1: Apa kabar? Orang 2: Saya kehilangan dompet dan kunci mobil hari ini. Orang 1: Ayam menang kampung tergadai.,kesialan yang tak tanggung-tanggung; sangat sial.,Orang 2 mengalami kejadian yang tidak disangka-sangka.,Orang 2 mengalami kesialan yang tak tanggung-tanggung.,1.0,b
"Yang dipandang rupa, yang dimakan rasa","Orang 1: Kamu harus berbicara dengan baik pada bosmu jika ingin mendapatkan kenaikan gaji. Orang 2: Benar sekali, yang dipandang rupa, yang dimakan rasa.","maksud yang baik itu hendaklah disampaikan dengan baik pula, karena bila cara penyampaiannya kurang baik maka yang dimaksud sering tidak tercapai",Orang 2 menegaskan pentingnya berkata dengan baik jika ada hal yang ingin dicapai.,Orang 2 menegaskan berkata dengan baik tidak terlalu dibutuhkan asal tujuan tercapai.,1.0,a
Bagai air di atas daun talas,"Orang 1: Apa yang terjadi dengan proyek kita? Orang 2: Semua anggota tim bekerja sendiri-sendiri tanpa koordinasi. Kita harus bekerja sama agar proyek ini berhasil. Kalau tidak, hasilnya akan bagai air di atas daun talas.","tidak bersatu, sia sia.",Projek ini luar biasa.,Projek tersebut menjadi sia sia.,1.0,b
Bagai anjing beranak enam,"Orang 1: Kamu lihat teman baruku belum? Orang 2: Oh, yang mana? Oh, yang kamu maksud bagai anjing beranak enam?  Orang 1: Haha, iya ya.",orang yang sangat kurus sekali.,Teman baru itu sangat kurus.,Teman baru itu sangat besar.,1.0,a
Bagai api dengan asap,"Orang 1: Kamu dan pacarmu selalu bersama-sama ya? Orang 2: Iya, bagai api dengan asap.",tak dapat bercerai lagi/selalu bersama-sama.,Pasangan baru yang sedang cinta-cinta nya.,Pasangan yang tidak bisa dipisahkan.,1.0,b
"Cerdik perempuan melebuhkan, saudagar muda mengutangkan","Orang 1: Apa pendapatmu tentang komentar itu? Orang 2: Saya rasa tidak perlu dipertimbangkan, seperti kata pepatah Cerdik perempuan melebuhkan, saudagar muda mengutangkan.",orang bodoh tidak perlu dipertimbangkan perkataannya.,Komentar tersebut tidak perlu dihiraukan karena diucapkan oleh orang yang bodoh.,Komentar tersebut tidak perlu dihiraukan karena diucapkan oleh orang yang tidak dikenal,1.0,a
Condong yang akan menimpa,"Orang 1: Aku ingin mencoba melompati sungai ini, apa kamu mau ikut?  Orang 2: Tidak, itu sangat berbahaya. Condong yang akan menimpa.",perbuatan yang akan mendatangkan celaka.,Orang 2 mengatakan bahwa tindakan orang 1 tidak biasa.,Orang 2 mengatakan bahwa tindakan orang 1sangat berbahaya.,1.0,b
Dahulu timah sekarang besi,"Orang 1: Kamu ingat zaman kita masih kecil, Aditya paling populer di sekolah kita? Orang 2: Iya, dahulu timah sekarang besi.",seseorang yang harkat martabat dan kedudukannya turun.,Aditya sudah tidak populer lagi.,Aditya kini semakin populer.,1.0,a
Dari jung turun ke sampan,Orang 1: Apa yang terjadi dengan bosmu? Orang 2: Dia melakukan kesalahan besar dan akhirnya dari jung turun ke sampan.,"turun pangkat, turun derajat, jatuh merek.",Bos dari orang 2 dikeluarkan.,Bos dari orang 2 turun pangkat.,1.0,b
"Deras datang, deras kena","Orang 1: Ayo buruan jual barang ini, kita bisa dapat untung besar! Orang 2: Tunggu dulu, kita harus cek harga pasar dulu agar tidak rugi. Orang 1: Ah, nggak usah ribet, cepat saja jual! Orang 2: Ingatlah, deras datang, deras kena.",siapa tak tak sabar (mau cepat-cepat saja) dalam berjual beli atau bertukar barang maka dialah yang akan mendapat kerugian.,Harus berhat-hati dalam berdagang jika tidak ingin rugi.,"Berdagang adalah kegiatan yang tidak menentu, kadang rugi kadang untung.",1.0,a
"Dianjak layu, dibubut mati","Orang 1: Mungkin kita harus mengubah rencana kita agar lebih efektif. Orang 2: Tidak perlu, Dianjak layu, dibubut mati.","sesuatu yang sudah tetap, jangan diubah lagi.","Meski tidak perlu diubah, rencana masih bisa disesuaikan di kemudian hari.",Rencana sudah tidak perlu diubah lagi.,1.0,b
Disisih sebagai antah,"Orang 1: Kenapa kamu tidak ikut rapat pengurus desa? Orang 2: Karena saya dianggap tidak punya pengaruh dan harta, jadi disisih sebagai antah.",tidak boleh ikut campur (karena dianggap hina atau miskin).,Orang 2 dianggap tidak boleh ikut campur karena miskin.,Perasaan sedih orang 2 karena disisihkan oleh orang kampung.,0.0,a
"Emping terserak, hari hujan","Orang 1: Aku kehilangan dompetku yang berisi uang dan kartu identitas. Orang 2: Emping terserak, hari hujan.",sangat sial.,Dompetnya terjatuh dan terkena air.,Kejadian yang sangat sial.,1.0,b
"Geleng bukan, angguk ia","Orang 1: Apa kamu setuju dengan keputusan ini? Orang 2: Geleng bukan, angguk ia.",mengangguk untuk menyatakan bukan; yang dikatakan tak sama dengan yang ada dalam hati.,Orang 2 menegaskan bahwa hati nya tidak setuju dengan keputusan tersebut.,Orang 2 menegaskan bahwa ia sangat setuju dengan keputusan tersebut.,0.0,a
Geleng serupa cupak hanyut,"Orang 1: Kamu tidak perlu merasa lebih pintar dari yang lain, kamu tahu?  Orang 2: Ah, aku tahu kok. Tapi aku memang lebih pintar daripada mereka.  Orang 1: Geleng serupa cupak hanyut.",sombong/angkuh; kalau berjalan tampak benar sikap angkuh dan sombongnya itu.,Orang 2 merupakan seseorang yang pintar.,Orang 2 seseorang yang sombong.,1.0,b
"Habis beralur, maka beralu-alu","Orang 1: Apa yang harus kita lakukan jika perundingan gagal lagi? Orang 2: Habis beralur, maka beralu-alu.","setelah upaya perundingan berkali-kali gagal, barulah boleh mengambil jalan kekerasan.",Jika perundungan gagal maka kita akan mengambil jalan kekerasan.,Kita akan terus bermusyawarah jika keputusan belum tercapai.,0.0,a
"Hafal kaji karena diulang, pasar jalan karena ditempuh","Orang 1: Bagaimana caranya agar bisa mahir dalam bermain gitar? Orang 2: Hafal kaji karena diulang, pasar jalan karena ditempuh.",semua pekerjaan akan menjadi lancar/mahir jika selalu dilakukan berulang kali.,Orang 2 sangat suka bermain gitar.,Orang 2 mahir bermain gitar karena sering berlatih memainkannya.,0.0,b
Harimau mengaum takkan menangkap,"Orang 1: Aku takut dengan orang yang terlihat sangat menakutkan. Orang 2: Jangan takut, harimau mengaum takkan menangkap.",orang yang mengancam lebih dahulu biasanya tidak berbahaya.,Tidak perlu takut terhadap orang yang terlihat mengancam karena biasa tidak berbahaya.,Tidak perlu takut terhadap orang yang terlihat mengancam karena mereka sebenarnya orang baik.,1.0,a
Hemat pangkal kaya,Orang 1: Kenapa kamu selalu berhemat? Orang 2: Karena hemat pangkal kaya.,Orang yang selalu berhemat akan menjadi kaya.,Orang kaya selalu hidup dengan berhemat.,Orang yang selalu berhemat akan menjadi kaya.,0.0,b
"Hendak ulam, pucuk menjulai","Orang 1: Aku hanya berharap bisa makan nasi goreng biasa saja, tapi ternyata temanku memesankan nasi goreng spesial untukku!  Orang 2: Wah, kamu sangat beruntung! Hendak ulam, pucuk menjulai.",sangat beruntung; mendapatkan sesuatu lebih dari apa yang diharapkan.,Orang 1 mendapatkan sesuatu yang melebihi ekspektasinya.,Orang 1  merasa kenyang dan bahagia mamakan nasi goreng spesial.,0.0,a
"Hidup dikandung adat, mati dikandung tanah","Orang 1: Mengapa kamu selalu mengikuti adat istiadat yang berlaku di sini? Orang 2: Karena hidup dikandung adat, mati dikandung tanah.",Orang yang hidup di suatu tempat harus mematuhi hukum norma adat istiadat yang berlaku di masyarakat.,Seseorang harus membantu merumuskan adat dan aturan dimana ia menetap.,Seseorang harus mengikuti aturan dan adat dimana ia menetap.,0.0,b
"Hidup tolong-menolong, sandar-menyandar","Orang 1: Saya butuh bantuan untuk menyelesaikan tugas ini. Orang 2: Tentu saja, saya bisa membantu. Hidup tolong-menolong, sandar-menyandar.",orang yang hidup seharusnya saling bantu membantu.,Orang 2 akan mebantu orang 1 karena dalam hidup kita harus tolong-menolong.,Orang 2 akan membantu orang 1 jika orang 1 memberi imbalan kepada orang 2.,0.0,a
Hilang di mata di hati jangan,"Orang 1: Sudah lama tidak bertemu, apakah kamu masih ingat teman kita yang dulu sering bersama-sama? Orang 2: Tentu saja, meskipun kita berjauhan, tapi kenangan itu masih terjaga. Orang 1: Benar sekali, hilang di mata di hati jangan.",walaupun tempat tinggal sudah berjauhan namun jangan saling melupakan.,Orang 1 sudah tidak ingin mengingat tentang temannya.,Orang 1 dan orang 2 masih teringat temannya yang pergi jauh merantau.,1.0,b
"Hujan berpohon, panas berasal","Orang 1: Kenapa sih musim hujan tahun ini sangat panjang? Orang 2: Hujan berpohon, panas berasal. Pasti ada penyebabnya.",segala sesuatu kejadian itu pasti ada sebab musababnya.,Pasti ada alasannya kenapa hujan tahun ini sangat panjang.,Sebab terjadinya hujan tahun ini karena cuaca yang tidak menentu.,1.0,a
"Ikut hati mati, ikut rasa binasa","Orang 1: Aku ingin resign dari pekerjaanku karena aku tidak bahagia di sana. Orang 2: Tunggu dulu, pikirkanlah konsekuensi dari keputusanmu itu. Orang 1: Tapi aku benar-benar tidak bahagia di sana. Orang 2: Ingatlah, ikut hati mati, ikut rasa binasa. Orang 1: Baiklah, aku akan berpikir ulang. Terima kasih.",orang yang hanya memperturutkan kata hati saja tanpa menggunakan akal fikiran maka dia akan gagal dalam kehidupannya; binasa.,Orang 2 mendorong Orang 1 untuk segera resign karena menyangkut masa depan.,Orang 2 mengingatkan Orang 1 untuk berfikir jerniih dengan keputusannya untuk resign,1.0,b
"Isi lemak dapat ke orang, tulang bulu pulang ke kita","Orang 1: Kenapa kamu selalu membantu orang lain tapi tidak pernah mendapat apresiasi? Orang 2: Ya, isi lemak dapat ke orang, tulang bulu pulang ke kita.","dalam menjalankan suatu pekerjaan/tugas, orang lain mendapat senangnya, kita sendiri hanya mendapatkan susahnya.",Orang ke-2 berkomentar bahwa situasinya kadang-kadang normal dengan peribahasa tersebut.,Orang ke-2 berkomentar bahwa situasinya kadang-kadang tidak normal dengan peribahasa tersebut.,1.0,a
Jagung tua tak hendak masak,"Orang 1: Sudah berapa kali kita memberi kesempatan pada karyawan yang malas ini untuk memperbaiki kinerjanya?  Orang 2: Sudah banyak, tapi tetap saja tak ada perubahan. Seperti jagung tua yang tak hendak masak.  (Orang ke-1 dan ke-2 sama-sama mengangguk setuju.)","bagai menyekolahkan anak yang nakal dan bodoh, uang orang tua habis, anak tak pernah lulus.","Meskipun karyawan yang malas tersebut merugikan perusahaan, ia akan diberikan kesempatan terakhir",Uang perusahaan terbuang percuma untuk membiayai karyawan yang malas,1.0,b
Jalan diasak orang menggalas,Orang 1: Apa yang terjadi dengan adat istiadat kita akhir-akhir ini? Orang 2: Jalan diasak orang menggalas.,adat istiadat kita diubah oleh pendatang/orang asing.,Adat telah berubah karena pengaruh penatang,Adat tetap dipertahankan dan dilestarikan,0.0,a
Jatuh ke tilam empuk,"Orang 1: Kok si Asep masih kelihatan santai aja ya setelah dipecat dari perusahaan besar itu?  Orang 2: Ya itu dia, jatuh ke tilam empuk. Punya bisnis sendiri jadi nggak terlalu merasakan dampaknya.","orang besar/kaya walaupun sudah diberhentikan dari jabatannya/pekerjaannya, hidupnya tidak begitu melarat.",Asep berusaha keras untuk dapat hidup nyaman setelah dipecat dari perusahaan.,"Karena Asep sudah kaya dari dulunya, ia masih hidup dengan makmur setelah dipecat dari perusahaan.",1.0,b
"Jauh berjalan banyak dilihat, lama hidup banyak dirasai","Orang 1: Apa yang membuatmu menjadi seorang ahli dalam budaya Indonesia? Orang 2: Saya merantau ke seluruh Indonesia dan mengalami banyak hal yang berbeda. Jauh berjalan banyak dilihat, lama hidup banyak dirasai.",orang yang banyak merantau banyak pula pengalaman/pengetahuannya.,Orang 2 mendapatkan banyak pengalaman dan pengetahuan karena merantau ke seluruh Indonesia.,Orang 2 belajar ke perguruan tinggi di semua daerah Indonesia untuk mempelajari beraneka ragam budaya lokal.,0.0,a
Jawi hitam banyak tingkah,"Orang 1: Kenapa sih teman kita itu suka banget ngomong mulu?  Orang 2: Dia memang kayak gitu, Jawi hitam banyak tingkah.",orang yang cerewet.,Teman 1 dan 2 merupakan orang yang sombong.,Teman 1 dan 2 merupakan orang yang cerewet.,1.0,b
Jelatang di hulu air,"Orang 1: Kenapa sih dia selalu bikin masalah? Orang 2: Ya itu dia, jelatang di hulu air.",sesuatu yang selalu menyusahkan saja.,Orang 2 menegaskan bahwa orang tersebut memang suka menyusahkan orang lain.,Orang 2 menegaskan bahwa orang tersebut ingin mencari perhatian orang lain.,1.0,a
"Jika keruh dihulu, tak dapat tidak dihilir keruh juga","Orang 1: Apa pendapatmu tentang kasus korupsi terbaru? Orang 2: Jika keruh dihulu, tak dapat tidak dihilir keruh juga. Mereka yang terlibat pasti akan terjerat oleh hukum suatu saat nanti.",jika perkara dari awal sudah penuh dengan kecurangan maka akhirnya tidak akan selamat juga.,"Kasus korupsi itu sudah biasa. Beberapa ada yang selamat, dan beberapa akan terjerat oleh hukum suatu hari nanti.","Kasus korpusi itu kotor, dan biasanya akan terungkap siapa saja yang terlibat.",1.0,b
Racun diminum haram tak mabuk,"Orang 1: Bagaimana bisa ada seseorang yang sempurna seperti Nasya? Dia benar-benar luar biasa, dia cerdas, menawan... Orang 2: Kakak, racun diminum haram tak mabuk.",- kalau sudah dimabuk cinta semuanya tampak indah belaka.,Orang 1 buta oleh cinta sampai berpikir Nasya itu sempurna.,Orang 1 buta oleh alkohol sampai berpikir Nasya itu sempurna.,1.0,a
Rebung tiada jauh dari rumpunnya,Orang 1: Kamu kok suka banget makan pedas ya?   Orang 2: Rebung tiada jauh dari rumpunnya.,– kelakuan/tabiat anak tidak jauh berbeda dengan kelakuan/tabiat orang tuanya.,Orang 2 menegaskan bahwa dia dan ayah suka makan pedas karena Ibu sering memasak masakan pedas.,Orang 2 menegaskan bahwa tabiat seorang anak tidak akan jauh dari ayahnya.,1.0,b
"Rekah tidak, rekat pukah","Orang 1: Kamu kenal siapa itu?  Orang 2: Dia teman sekolah dulu, tapi sekarang tidak terlalu dekat lagi.  Orang 1: Oh, jadi hubungannya renggang ya?  Orang 2: Iya, rekah tidak, rekat pukah.",keadaan hubungan antara dua orang yang tidak terlalu akrab dan tidak pula bermusuhan,Hubungan pertemananan menjadi tidak terlalu akrab dan tidak pula bermusuhan,Hubungan pertemanan rusak karena bermusuhan,1.0,a
Rezeki musang tak akan didapat elang,Orang 1: Kenapa aku selalu gagal mencapai kesuksesan yang aku inginkan? Orang 2: Mungkin itu bukan rezeki yang telah ditentukan untukmu. Rezeki musang tak akan didapat elang.,- masing-masing manusia telah ditentukan Allah untuk dimilikinya.,Orang 2 meminta orang 1 untuk lebih bersabar menunggu rejekinya.,Orang 2 menegaskan bahwa rejeki manusia telah diatur oleh Allah dan tidak akan tertukar.,1.0,b
"Rumah sudah, tukul pahat berbunyi","Orang 1: Kamu sudah menandatangani kontraknya kan? Orang 2: Ya, saya sudah menandatangani itu dari dulu. Tapi rumah sudah, tukul pahat berbunyi.",- keputusan sudah diambil baru belakangan keberatan diajukan.,Pribahasa yang diucapkan oleh orang 2 megisyaratkan situasi orang 1 yang merasa ragu setelah keputusan ditetapkan.,Pribahasa yang diucapkan oleh orang 2 megisyaratkan bahwa orang 1 tidak boleh ragu-ragu mengambil keputusan.,1.0,a
"Rupa harimau, hati tikus","Orang 1: Kamu kelihatannya serius dan tegas saat memimpin rapat, tapi sebenarnya kamu takut salah keputusan ya? Orang 2: Haha, saya mempunyai rupa harimau, hati tikus.","- kelihatannya saja pemberani, sebenarnya penakut.",Orang 2 tidak akan menyesal tentang keputusan itu tidak peduli apa pun yang terjadi.,Orang 2 mungkin menyesal tentang keputusannya atau ada orang yang menentang keputusannya.,1.0,b
Bagai hujan jatuh ke pasir,"Orang 1: Saya mengalami kesulitan berurusan dengan saudara saya. Saya ingin membantunya agar lebih baik dalam pekerjaannya, tetapi saya tidak tahu harus berbuat apa. Orang 2: Sudahkah kamu mencoba memberinya masukan? Orang 1: Ya, sudah. Umpan balik seperti bagai hujan jatuh ke pasir.",nasihat yang diberi tidak berbekas,Nasihat yang diberikan tidak berbekas.,Nasihat yang diberikan perlu diulangi lagi agar didengarkan.,1.0,a
Utang sebelit pinggang,"Orang 1: Aku dengar temanmu berhutang pada banyak orang ya?  Orang 2: Iya, utang sebelit pinggang.",1. orang yang jumlah hutangnya sangat banyak; 2. berhutang pada banyak orang.,"Jumlah hutang teman orang 2 meski banyak, sudah hampir lunas",Jumlah hutang teman orang 2 sangatlah banyak,0.0,b
Seperti seludang menolak mayang,"Orang 1: Aku merasa tidak berguna lagi di hadapan anakku yang sudah menjadi seorang pembesar. Orang 2: Ingatlah, seperti seludang menolak mayang. Janganlah begitu, justru anakmu membutuhkanmu sebagai figur yang memberikan arahan dan nasihat.","- dikatakan kepada orang tua yang beranakkan pembesar, makin merasa kecil dirinya terhadap anaknya, lalu menjauhkan diri dari anaknya.","Orang ke-2 mendeskripsikan apa yang dirasakan oleh Orang ke-1 dalam peribahasa tersebut, dan mengimplikasikan bahwa rasanya wajar untuk merasa demikian.",Orang ke-2 mendeskripsikan sebuah strategi untuk mengatasi peribahasa tersebut.,1.0,a
Bagai kucing dengan panggang,"Orang 1: Apa pendapatmu tentang teman kita yang terus menggoda teman perempuan di kantor? Orang 2: Sangat berbahaya, bagai kucing dengan panggang.",berbahaya bila diperdekatkan (misalkan lelaki dengan perempuan).,Teman 1 dan 2 dianggap centil dan melakukan hal yang tidak pantas terhadap wanita di kantor.,Teman 1 dan 2dirasa tidak boleh dekat-dekat dengan wanita di kantor karena bisa menimbulkan fitnah.,1.0,b
Bagai kucing tak bermisai,Orang 1: Apa pendapatmu tentang mantan presiden yang sekarang terlihat tidak berdaya? Orang 2: Bagai kucing tak bermisai.,orang besar atau pejabat yang sudah berhenti dari jabatannya dan tidak ditakuti lagi,Mantan presiden tidak perlu ditakuti lagi sejak ia berhenti menjabat.,Mantap presdien terlihat sudah tua dan sepuh.,1.0,a
Bagai kuku dengan daging,"Orang 1: Kamu dan aku selalu bersama-sama, seperti apa ya? Orang 2: Bagai kuku dengan daging.","selalu bersama-sama; dua orang yang tidak dapat terpisahkan (kekasih, sahabat karib, suami-istri).",Orang 2 menjelaskan bahwa dirinya dan orang 1 saling mengagumi satu sama lain.,Orang 2 menjelaskan bahwa dirinya dan orang 1 tidak bisa dipisahkan.,1.0,b
Bagai kura dengan isi,"Orang 1: Adik saya dan suaminya akan bercerai segera.  Orang 2: Tidak mungkin, mereka sudah seperti Bagai kura dengan isi.",sukar diceraikan; tidak pernah bercerai.,Mereka tidak bisa bercerai hanya karena mereka saling mencintai.,Mereka tidak bisa bercerai hanya karena mereka tidak peduli.,1.0,a
Bagai mendapat durian runtuh,"Orang 1: Saya menemukan uang di jalan hari ini! Bagai mendapat durian runtuh. Orang 2: Wah, untung banget ya kamu.",mendapatkan sesuatu tanpa disangka-sangka; memperoleh rezeki yang tak disangka.,Orang 1 menemukan sedikit sekali uang.,Orang 1 menemukan banyak uang.,1.0,b
seperti menggantang anak ayam,"Orang 1: Kamu ngapain saja sehari-hari? Orang 2: Saya mencoba memperbaiki mesin mobil tua, tapi rasanya seperti menggantung anak ayam.",perbuatan yang sia-sia; pekerjaan yang sangat sukar.,Orang 2 merasa sia-sia menghabiskan waktu untuk memperbaiki mesin mobil tua.,Orang 2 merasa mobil tua ini bisa saja diperbaiki jika diganti dengan spare-part yang baru.,1.0,a
Bagai musuh dalam selimut,Orang 1: Apa kabar dengan temanmu yang selalu menolongmu? Orang 2: Dia diam-diam telah memfitnahku di belakangku. Bagai musuh dalam selimut.,orang terdekat yang diam-diam berkhianat,Teaman dekat orang 2 merasa khilaf berkhianat.,Teman dekat orang 2 berkhianat.,1.0,b
Bagai orang kena miang,Orang 1: Kenapa mukanya merah sekali? Apa yang terjadi? Orang 2: Saya jatuh di depan banyak orang tadi pagi. Bagai orang kena miang.,sangat gelisah karena mendapat malu ditengah orang banyak.,Orang 2 merasa malu dan gelisah di depan banyak orang.,Orang 2 merasa sakit hati karena jatuh di depan banyak orang.,1.0,a
Bagai pelita kehabisan minyak,"Orang 1: Apa kabar bisnismu akhir-akhir ini? Orang 2: Ya, sekarang bisnis saya bagai pelita kehabisan minyak.",sesuatu yang hampir mati,Bisnis Orang ke-2 sedang menurun.,Bisnis Orang ke-2 berada di ambang kebangkrutan dan berakhir.,1.0,b
Bagai telur di ujung tanduk,"Orang 1: Apa yang terjadi dengan proyekmu? Orang 2: Sudah hampir selesai, tapi ada masalah besar yang muncul tiba-tiba. Kontraktor utama kami bangkrut dan kami harus mencari pengganti dalam waktu singkat. Orang 1: Bagaimana caranya? Orang 2: Saya tidak tahu. Saat ini proyek kami bagai telur di ujung tanduk.",keadaan yang sangat membahayakan (kritis/genting).,Proyek sedang berada dalam keadaan genting atau kritis,Proyek akan segera dijual karena sudah tidak menjanjikan,1.0,a
Laksana garam dengan asam,"Orang 1: Kamu dan dia sepertinya cocok banget ya! Orang 2: Iya, laksana garam dengan asam.","cocok sekali, seia sekata.",Orang 1 dan orang 2 pasangan seia sekata yang sering berdebat.,Orang 1 dan orang 2 pasangan seia sekata yang cocok satu sama lain.,1.0,b
Terpegang di abu dingin,"Orang 1: Aku sudah bilang jangan ikut campur urusan itu... Orang 2: Tapi aku pikir aku bisa menyelesaikannya dengan baik Orang 1: Sudah ku bilang jangan, sekarang kamu terpegang di abu dingin.",mendapat atau mencampuri sesuatu (urusan) yang menyusahkan atau mencelakakan diri sendiri.,Orang 2 menjadi susah karena berinisiatif memecahkan masalah tersebut.,Orang 2 berhasil menyelesaikan masalahnya dengan baik setelah dibantu orang 1.,1.0,a
Sudah jadi abu arang,Orang 1: Apa kabar mobil lama kamu? Orang 2: Sudah jadi abu arang.,"telah rusak sama sekali, sehingga kecil sekali kegunaannya.",Mobil orang 2 sudah tua sekali.,Mobil orang 2 sudah tidak bisa digunakan.,1.0,b
Mengabui mata orang,"Orang 1: Apa yang kamu lakukan dengan uang saya? Orang 2: Tidak ada, saya hanya meminjam sebentar. Orang 1: Kamu pasti mengambil uang saya! Jangan mengabui mata orang!",menipu atau memperbodoh orang.,Orang 2 menipu orang 1.,Orang 12meminjam paksa uang Orang 1.,0.0,a
