ID,Source,Subject,Exam Type,Profession Group,Question,Option A,Option B,Option C,Option D,Option E,Answer Key,is_few_shot
1773,https://www.scribd.com/document/335934418/1001-Soal-Dan-Pembahasan-Ukmppd,Medical Doctor,Indonesian Competency Exam,Healthcare and Medical,Laki laki 65 tahun datang ke dokter dengan keluhan nyeri ulu hati. Mual dan muntah serta BAB hitam sejak 1 minggu yang lalu. Pasien mengkonsumsi anti inflamasi untuk mengobati penyakit degenerative kronis pinggul dan sendi yang dideritanya. Pada pemeriksaan fisik ditemukan nyeri tekan epigastrium. Terapi farmakologis yang diberikan pada pasien ini adalah ...,Obat untuk menekan sekresi asam lambung,Obat untuk menurunkan peristaltic,Antibiotik untuk lambung,Enzim pencernaan,Anti nyeri,A,0
1774,https://www.scribd.com/document/335934418/1001-Soal-Dan-Pembahasan-Ukmppd,Medical Doctor,Indonesian Competency Exam,Healthcare and Medical,"Laki laki usia 35 tahun menderita penyakit imunodefisiensi, sering diare, malas makan, mual dan muntah. Tinggi 172 cm, berat awal 66 kg sekarang 60 kg dalam 4 bulan. Setelah dihitung oleh dokter, ternyata dia hanya mengkonsumsi makanan 1100 kcal, 65 g protein, 40 g lemak. Diet yang cocok untuk menaikkan status gizi pasien tersebut adalah ...",Diet tinggi lemak tak jenuh omega 3,Diet tinggi lemak,Diet tinggi karbohidrat,Diet tinggi protein,Diet rendah serat,C,0
1775,https://www.scribd.com/document/335934418/1001-Soal-Dan-Pembahasan-Ukmppd,Medical Doctor,Indonesian Competency Exam,Healthcare and Medical,"Laki-laki usia 50 tahun datang dengan keluhan nyeri pada kaki kiri sejak 3 bulan. Pemeriksaan fisik di dapatkan benjolan pada kaki, edema, dan hiperemi di sekitar benjolan, serta kadar asam urat yang meningkat. Diagnosa pada kasus ini adalah ...",Rheumatoid Arthritis,Gouty Arthritis,Arthritis Tuberkulosa,SLE,OA,B,0
1776,https://www.scribd.com/document/335934418/1001-Soal-Dan-Pembahasan-Ukmppd,Medical Doctor,Indonesian Competency Exam,Healthcare and Medical,Laki-laki 28 tahun datang ke praktik dokter swasta dengan keluhan mulut dan daerah bibir bergerak - gerak sendiri. Riwayat mual dan muntah sejak 2 minggu dan telah berobat ke mantri. Apa kemungkinan obat yang telah diberikan oleh mantri sebelumnya?,Ondansentron,Metoclopramide,Domperidon,Omeprazole,Cimetidine,B,0
1777,https://www.scribd.com/document/335934418/1001-Soal-Dan-Pembahasan-Ukmppd,Medical Doctor,Indonesian Competency Exam,Healthcare and Medical,"Laki-laki 27 tahun datang dengan keluhan mata kuning, kencing seperti cola, disertai mual, muntah, lemas, dan lemah. Riwayat suka makan dan jajan sembarangan. ALT/APT 820/607, bilirubin direct 10mg/dL. Pemeriksaan tambahan yang perlu dilakukan pada kasus ini ...",HBsAG,HBcAG,Anti HCV,Anti HDV,IgM anti HAV,E,0
1778,https://www.scribd.com/document/335934418/1001-Soal-Dan-Pembahasan-Ukmppd,Medical Doctor,Indonesian Competency Exam,Healthcare and Medical,"Laki-laki 34 tahun, datang ke klinik anda dengan keluhan tubuh lemas sejak 2 minggu. Pasien terdiagnosis sub-akut tiroiditis. Pengobatan yang tepat pada kasus ini adalah ...",TSH,PTU,Iodin,Metimazole,Levotiroksin,E,0
1779,https://www.scribd.com/document/335934418/1001-Soal-Dan-Pembahasan-Ukmppd,Medical Doctor,Indonesian Competency Exam,Healthcare and Medical,"Laki-laki 40 tahun datang dengan keluhan sesak yang memberat dalam 3 hari ini dan terasa nyeri seluruh lapang dada. Terdapat batuk berdahak sejak 5 tahun yang lalu dan diare sejak 1 bulan yang lalu. Pasien adalah seorang homoseksual dan pemakai narkoba suntik. Pemeriksaan fisik didapatkan TD 110/85, N 90x/menit, RR 32x/menit, Tax 37. Ditemukan selaput putih pada mukosa buccal. Apakah yang menjadi penyebab dari keluhan utama pasien?",Staphylococcus sp.,Streptococcus sp.,Pneumocystic carinii Pneumonia (PCP),M. Tuberculosa,Klebsiella sp.,D,0
1780,https://www.scribd.com/document/335934418/1001-Soal-Dan-Pembahasan-Ukmppd,Medical Doctor,Indonesian Competency Exam,Healthcare and Medical,"Laki-laki 50 tahun datang ke dokter umum untuk kontrol gula darah. Telah
didiagnosis DM tipe 2 sejak 4 bulan yang lalu. Rutin konsumsi metformin
3x500 mg. Pasien telah melakukan pola hidup sehat dan seimbang. Dari
hasil pemeriksaan GDP 221 mg/dl, G2PP 420 mg/dl, kolesterol total 250
mg/dl, HbA1C 8,9%. Tatalaksana menurut ADA 2009 adalah ...",Ganti SU,Naikkan metformin 3x850 mg,Lanjutkan terapi,Metformin + Alfa glukosidase inhibitor,Metformin + DPP IV inhibitor,E,0
1781,https://www.scribd.com/document/335934418/1001-Soal-Dan-Pembahasan-Ukmppd,Medical Doctor,Indonesian Competency Exam,Healthcare and Medical,"Laki-laki 56 tahun, datang ke IGD dengan keluhan muntah darah bergumpal-gumpal disertai BAB lembek hitam sejak 6 jam lalu. Tidak ada riwayat minum alkohol sebelumnya. Pada pemeriksaan fisik, hepar tidak teraba, lien schufner IV, pasien tampak sakit berat dengan TD 100/70, N 100 x/m, Hb 9,8, leukosit 12.000, trombosit 68.000, SGOT/SGPT: 60/31. Tatalaksana awal pada pasien ini adalah ...",Berikan bolus corbozochrom,Lakukan gastric cooling,"Berikan loading bolus asam tranexamat dilanjutkan dengan
dosis harian",Loading cairan Normal Saline intravena,Langsung transfusi trombosit,D,0
1782,https://www.scribd.com/document/335934418/1001-Soal-Dan-Pembahasan-Ukmppd,Medical Doctor,Indonesian Competency Exam,Healthcare and Medical,"Laki-laki 56 tahun datang ke RS dengan keluhan kecing sangat sedikit, pasien menderita DM sejak 5 tahun yang lalu, dan rutin minum obat, pada pemeriksaan urinalisis didapatkan protein urin +++. Pemeriksaan apa yang tepat untuk melihat fungsi ginjal pasien?",Ureum,GDS,Kreatinin kinase,Creatinin Clearans,Eritrosit urin,D,0
1783,https://www.scribd.com/document/335934418/1001-Soal-Dan-Pembahasan-Ukmppd,Medical Doctor,Indonesian Competency Exam,Healthcare and Medical,Laki-laki 57 tahun datang dengan keluhan nyeri dan benjolan pada kaki. Riwayat konsumsi alkohol dan makan makanan yang mengandung purin sejak lama. Saat benjolan diaspirasi terdapat sel granulomatous dengan kristal halus. Apakah kemungkinan diagnosis pada kasus ini?,Rheumatoid Arthritis,Osteoarthritis,Gout Arthritis,Kondroma,Osteosarcoma,C,0
1784,https://www.scribd.com/document/335934418/1001-Soal-Dan-Pembahasan-Ukmppd,Medical Doctor,Indonesian Competency Exam,Healthcare and Medical,"Laki-laki 72 tahun, datang ke IGD dengan keluhan sesak. Sesak dirasakan saat pasien sedang tidur hingga pasien terbangun dari tidurnya. Pasien memiliki riwayat darah tinggi, namun tidak rutin minum obat. Pada pemeriksaan fisik didapatkan ronkhi penuh pada kedua lapang paru. TD 80/50, N 130 x/m, RR 32 x/m dengan saturasi O2 90%. Tatalaksana awal pada pasien adalah",Langsung berikan bolus diuretic,Langsung berikan bolus nitrat sebagai vasodilator,Berikan dobutamin sebagai inotropic,Berikan loading cairan,Berikan beta-blocker,C,0
1785,https://www.scribd.com/document/335934418/1001-Soal-Dan-Pembahasan-Ukmppd,Medical Doctor,Indonesian Competency Exam,Healthcare and Medical,"Laki-laki 37 tahun datang ke puskesmas dengan keluhan demam sudah 7 hari. Demam disertai nyeri perut, mual, muntah, dan lidah putih. Pasien diketahui memiliki alergi terhadap Chloramphenicol. Terapi yang bisa diberikan pada pasien ini adalah ...",Thiamphenicol,Ceftriaxone,Cefotaxime,Amoksisilin,Ceftazidine,D,0
1786,https://www.scribd.com/document/335934418/1001-Soal-Dan-Pembahasan-Ukmppd,Medical Doctor,Indonesian Competency Exam,Healthcare and Medical,"Laki-laki 57 tahun datang ke puskesmas untuk kontrol gula darah. Pasien memiliki riwayat DM sejak 1 tahun yang lalu. Pasien kesulitan untuk memperbaiki pola hidup sehat dan jarang olahraga. Sudah konsumsi metformin 3x500 mg. Kadar HbA1C 8,3%. Tatalaksana selanjutnya pada pasien ini adalah ...",Nasihat untuk perbaiki pola hidup sehat,Lanjutkan terapi,Metformin + SU,,,C,0
1787,https://www.scribd.com/document/335934418/1001-Soal-Dan-Pembahasan-Ukmppd,Medical Doctor,Indonesian Competency Exam,Healthcare and Medical,Laki-laki 50 tahun datang ke praktik dokter swasta untuk menanyakan hasil laboratorium. Dari hasil laboratorium menunjukkan GDS 160 dan TTGO 190. Diagnosis pada kasus ini adalah ...,DM tipe 1,DM tipe 2,TGT,GDPT,Sindroma metabolik,C,0
1788,https://www.scribd.com/document/335934418/1001-Soal-Dan-Pembahasan-Ukmppd,Medical Doctor,Indonesian Competency Exam,Healthcare and Medical,"Laki-laki 25 tahun dibawa ke IGD RS dengan keluhan diare sejak 2 bulan, BB turun 10 kg dalam 6 bulan. Dari pemeriksaan fisik didapatkan oral thrush dan pembesaran KGB leher kanan kiri. Pemeriksaan laboratorium Hb 10 g/dL, Leukosit 3000. Diagnosis pada kasus di atas adalah ...",HIV stadium 1,HIV stadium 2,HIV stadium 3,HIV stadium 4,HIV stadium 5,C,0
1789,https://www.scribd.com/document/335934418/1001-Soal-Dan-Pembahasan-Ukmppd,Medical Doctor,Indonesian Competency Exam,Healthcare and Medical,"Laki-laki 20 tahun dibawa ke IGD RS dengan keluhan lemas dan pucat. Hasil laboratorium menunjukkan leukosit 129.000, trombosit 59.000, Hb 7.2, Sel blast 25%. Pemeriksaan apa yang harus dilakukan selanjutnya?",Aspirasi sumsum tulang,Coombs test,Hb elektroforesis,Darah lengkap,Crossmatch,A,0
1790,https://www.scribd.com/document/335934418/1001-Soal-Dan-Pembahasan-Ukmppd,Medical Doctor,Indonesian Competency Exam,Healthcare and Medical,"Laki-laki umur 45 tahun datang dengan keluhan nyeri pada ujung jempol kaki kanan. Nyeri terutama dirasakan saat pagi hari ketika bangun tidur. Pada pemeriksaan fisik didapatkan benjolan kemerahan, panas, dan nyeri. Pada pemeriksaan laboratorium didapatkan kadar asam urat 10 mg/dL. Terapi yang paling cocok diberikan pada pasien ini adalah ...",Aspirin,Kolkisin,Methylprednisolon,Simvastatin,Allopurinol,B,0
1791,https://www.scribd.com/document/335934418/1001-Soal-Dan-Pembahasan-Ukmppd,Medical Doctor,Indonesian Competency Exam,Healthcare and Medical,"Laki-laki usia 38 tahun datang ke puskesmas dengan keluhan nyeri perut kanan atas disertai mual muntah. Keluhan disertai BAB berdarah. Dari pemeriksaan fisik didapatkan hepatomegali dan splenomegali. Dari hapusan feses ditemukan parasit ukuran 10-60 ?m, inti 1, peripheral kromatin, central kariosom, dan sel eritrosit di dalamnya. Parasit penyebab keluhan di atas adalah ...",Entamoeba hostilitica,Iodamoeba,Cryptosporodium,Giardia lamblia,Cyclospora,A,0
1792,https://www.scribd.com/document/335934418/1001-Soal-Dan-Pembahasan-Ukmppd,Medical Doctor,Indonesian Competency Exam,Healthcare and Medical,"Laki-laki usia 45 tahun, TB 162 cm, BB 90 kg. Datang ke puskesmas dengan keluhan lutut merah dan terasa nyeri sejak 3 bulan yang lalu. Riwayat kaku pada pagi hari selama 15-20 menit. Dari pemeriksaan fisik terdapat krepitasi pada sendi lutut. TTV dalam batas normal. Diagnosis pada kasus ini adalah ...",Gout arthritis,Rheumatoid Arthritis,Septic arthritis,Osteoarthritis,SLE,D,0
1793,https://www.scribd.com/document/335934418/1001-Soal-Dan-Pembahasan-Ukmppd,Medical Doctor,Indonesian Competency Exam,Healthcare and Medical,"Laki-laki usia 45 tahun, TB 162 cm, BB 90 kg. Datang ke puskesmas dengan keluhan lutut merah dan terasa nyeri sejak 3 bulan yang lalu. Riwayat kaku pada pagi hari selama 15-20 menit. Dari pemeriksaan fisik terdapat krepitasi pada sendi lutut. TTV dalam batas normal. Mekanisme yang terjadi pada kasus di atas adalah ...",Hipertrofi sinovial,Panus pada celah sendi,"Edema subchondral dan penurunan
jumlah fungsional chondrosit",Inflamasi awal,,C,0
1794,https://www.scribd.com/document/335934418/1001-Soal-Dan-Pembahasan-Ukmppd,Medical Doctor,Indonesian Competency Exam,Healthcare and Medical,Laki-laki usia 50 tahun datang dengan keluhan penurunan berat badan secara drastis. Pasien menderita DM sejak 2 tahun. Pemeriksaan fisik TTV dalam batas normal. GDS 460 mg/dl. Farmakoterapi yang tepat untuk pasien ini adalah ...,Insulin,Metformin,Glimepirid,Pioglitazone,Acarbose,A,0
1795,https://www.scribd.com/document/335934418/1001-Soal-Dan-Pembahasan-Ukmppd,Medical Doctor,Indonesian Competency Exam,Healthcare and Medical,"Laki-laki usia 50 tahun dibawa ke UGD RS karena mengalami penurunan kesadaran. Riwayat DM tidak terkontrol, TD 140/90, Nadi 112x/m, RR 31x/m, Tax 39. Terdapat luka di kaki, berisi pus. Leukosit 17.000 Trombosit 250.000 GDS 400, Keton urin (+). Dari hasil kultur didapatkan bakteri aerob. Diagnosa pada pasien ini adalah ...",Koma hiperglikemi + sepsis,Koma hiperglikemi + bakterimia,,,,A,0
1796,https://www.scribd.com/document/335934418/1001-Soal-Dan-Pembahasan-Ukmppd,Medical Doctor,Indonesian Competency Exam,Healthcare and Medical,"Laki-laki usia 61 tahun, datang ke UGD pada pukul 11.00 karena tidak dapat dibangunkan sejak subuh. Pasien memiliki riwayat DM sejak 15 tahun yang lalu. Pada pemeriksaan fisik didapatkan TD 90/60 mmHg, HR 118x/menit, RR 18x/menit. Akral dingin. Nafas Kussmaul (-). Pemeriksaan paling awal yang harus dilakukan adalah ...",GDS,Keton Plasma,BGA,Fungsi Hepar,Serum Elektrolit,A,0
1797,https://www.scribd.com/document/335934418/1001-Soal-Dan-Pembahasan-Ukmppd,Medical Doctor,Indonesian Competency Exam,Healthcare and Medical,"Laki-laki usia 45 tahun datang dengan keluhan nyeri pada persendian jari-jari tangan kanan sejak 1 bulan memberat sejak 1 minggu. Pekerjaan pemasang kancing baju di pabrik. Dari pemeriksaan fisik didapatkan nodul heberden dan bouchard, di jari tengah tangan kanan. Deformitas swan neck (-). Sklerosis subchodral di jari tengah dan telunjuk kanan, penyempitan celah sendi di DIP dan PIP jari 2 tangan kanan, osteofit di DIP dan PIP telunjuk dan jari tengah tangan kanan. Diagnosis pasien ...",RA,GA,Septic arthritis,OA,Osteoporosis,D,0
1798,https://www.scribd.com/document/335934418/1001-Soal-Dan-Pembahasan-Ukmppd,Medical Doctor,Indonesian Competency Exam,Healthcare and Medical,"Laki-laki, 45 tahun, datang ke IGD rumah sakit dengan keluhan kembung. Keluhan disertai pusing, mual, muntah, lemas, dan sering bersendawa. Pada pemeriksaan sensitivitas kuman dari muntahan, didapatkan bakteri bentuk spiral gram negative berflagel, urease (+), oksidase (+), katalase (+). Terapi apa yang diberikan untuk eradikasi kuman?",Ranitidine + tetrasiklin + metronidazole,Bismuth + amoksisilin + metronidazole,Omeprazole + amoksisilin + metronidazole,Omeprazole + claritromisin + amoksisilin,Omeprazole + domperidon + ciprofloksasin,D,0
1799,https://www.scribd.com/document/335934418/1001-Soal-Dan-Pembahasan-Ukmppd,Medical Doctor,Indonesian Competency Exam,Healthcare and Medical,"Laki-laki, 52 tahun, dating ke IGD dengan keluhan nyeri pada lutut kiri sejak 1 tahun yang lalu. Nyeri disertai rasa kaku pada pagi hari. Pasien juga mengatakan sering mendengar suara gemeretek pada lutut kirinya. Pada pemeriksaan fisik didapatkan nyeri dan krepitasi, LED 20 mm/jam, Asam urat 5,7 gr/dl, rheumatoid factor 1:40. Diagnose pada pasien adalah?",Gouth arthritis,Osteoarthritis,Septic arthritis,Rheumatoid arthritis,Spondilitis arthritis,D,0
1800,https://www.scribd.com/document/335934418/1001-Soal-Dan-Pembahasan-Ukmppd,Medical Doctor,Indonesian Competency Exam,Healthcare and Medical,"Laki-laki 60 tahun riwayat DM sejak 2 tahun, rutin kontrol. Pasien mengonsumsi metformin 2x500mg. GDS terakhir 240. Riwayat nyeri punggung dan diberi prednison, sodium diklofenak, asam mefenamat, dan antihistamin. Obat yang membuat gula darah pasien naik adalah?",Prednison,Na diclofenac,Asam mefenamat,Cetirizine,Na Diclofenac + Asam mefenamat,A,0
1801,https://www.scribd.com/document/335934418/1001-Soal-Dan-Pembahasan-Ukmppd,Medical Doctor,Indonesian Competency Exam,Healthcare and Medical,Laki-laki 50 tahun datang ke puskesmas dengan keluhan demam. Riwayat mengalami kebanjiran pada rumahnya. Dari pemeriksaan fisik ditemukan nyeri abdomen dan nyeri otot gastrocnemius. Urin sedikit dan berwarna coklat. Ureum 230 mg/dL dan serum kreatinin 18 mg/dL. Diagnosa pada kasus di atas adalah ...,Glomerulonefritis Akut,Leptospirosis,Hepatitis A,Hepatitis B,Pankreatitis,B,0
1802,https://www.scribd.com/document/335934418/1001-Soal-Dan-Pembahasan-Ukmppd,Medical Doctor,Indonesian Competency Exam,Healthcare and Medical,"Seorang laki-laki 45 tahun datang dengan keluhan badan lemah sejak 1 hari yang lalu. IMT pasien 30,1 kg/m2. Dari hail pemeriksaan lab: Gula darah puasa: 150 mg/dl, Gula darah 2 jam PP 250 mg/dl. Diagnosis yang tepat untuk pasien ini adalah ...",Intoleransi Glukosa + obesitas,Sindroma Metabolik + obesitas,Diabetes mellitus Tipe 2 +obesitas,Diabetes Melitus Tipe 1 + obesitas,Diabetes Ketoacidosis,C,0
1803,https://www.scribd.com/document/335934418/1001-Soal-Dan-Pembahasan-Ukmppd,Medical Doctor,Indonesian Competency Exam,Healthcare and Medical,"Seorang pria 36 tahun datang di puskesmas pedalaman dengan keluhan demam menggigil sejak 5 hari. Keluhan disertai mual, muntah, nyeri perut. Pemeriksaan fisik didapatkan splenomegali. Dari pemeriksaan darah didapatkan gambaran cincin dengan eritrosit tidak membesar. Obat untuk mengatasi resistensi pada kasus di atas adalah ...",Doksisiklin + kinin,Kolorkuin + kinin,Primakuin + kinin,Meflokuin + kinin,Proguanil + kinin,A,0
1804,https://www.scribd.com/document/335934418/1001-Soal-Dan-Pembahasan-Ukmppd,Medical Doctor,Indonesian Competency Exam,Healthcare and Medical,"Pasien wanita usia 57 tahun dibawa keluarganya ke IGD karena demam dan sesak nafas berat. Riwayat demam dan batuk berdahak berwarna hijau sejak 2 minggu. Pada pemeriksaan fisik didapatkan GCS 10, TD 80/60 mmHg, Nadi 110x/m, RR 34x/m, Tax 39,1°C. Ditemukan ronki kasar pada area basal paru kanan dan kiri. Dari pemeriksaan laboratorium Hb 10,2 g/dL, Leukosit 21.000, Trombosit 233.000. Terapi farmakologis untuk menaikkan tekanan darah pada kondisi di atas adalah ...",Dopamin,Dobutamin,Norepinephrine,Digoxin,Amiodarone,A,0
1805,https://www.scribd.com/document/335934418/1001-Soal-Dan-Pembahasan-Ukmppd,Medical Doctor,Indonesian Competency Exam,Healthcare and Medical,"Pasien laki-laki umur 20 tahun dibawa keluarganya ke IGD dengan keluhan koma dan nafas cepat. Pasien memiliki riwayat DM tipe 1. Pada pemeriksaan fisik didapatkan GCS 13, TD 130/90mmhg, Nadi 90x/m, RR 28x/m dengan kussmaul. Didapatkan turgor kulit yang menurun. Pada pemeriksaan lab didapatkan GDS 350, dan BGA didapatkan PH 7,25, PaCO2 50, HCO3 16. Kemungkinan diagnosis pada pasien ini adalah ...",Asidosis metabolik dengan kompensasi sebagian,Asidosis metabolik tanpa kompensasi,Alkalosis metabolik dengan kompensasi sebagian,Alkalosis metabolik dengan kompensasi sempurna,Alkalosis metabolik tanpa kompensasi,B,0
1806,https://www.scribd.com/document/335934418/1001-Soal-Dan-Pembahasan-Ukmppd,Medical Doctor,Indonesian Competency Exam,Healthcare and Medical,"Pasien wanita 40 tahun datang ke puskesmas dengan keluhan BAB 8x sehari, cair, disertai lendir dan darah. Disertai keluhan mules dan nyeri perut. TTV dalam batas normal. Dari pemeriksaan mikroskopis didapatkan gambaran sebagai berikut: Terapinya yang tepat untuk kasus di atas adalah ...",Metronidazole,Cotrimoxazole,Pirimetamin,Eritromisin,Amoksisilin,A,0
1807,https://www.scribd.com/document/335934418/1001-Soal-Dan-Pembahasan-Ukmppd,Medical Doctor,Indonesian Competency Exam,Healthcare and Medical,"Pasien laki-laki 22 tahun datang dengan keluhan mudah lelah, pucat, dan kulit kuning. Pemeriksaan fisik didapatkan konjungtiva anemis, sklera ikterik, hepatomegali 2 jari dari arcus costae. Pemeriksaan Laboratorium didapatkan Serum besi normal, TIBC meningkat, bilirubin meningkat. Diagnosis yang tepat pada kasus di atas adalah ...",Anemia megaloblastik,Anemia hemolitik,Talasemia,Anemia defisiensi Fe,Anemia defisiensi G6PD,B,0
1808,https://www.scribd.com/document/335934418/1001-Soal-Dan-Pembahasan-Ukmppd,Medical Doctor,Indonesian Competency Exam,Healthcare and Medical,"Pasien wanita 50 tahun dibawa ke IGD RS dengan penurunan kesadaran. Riwayat DM sejak 15 tahun. Pemeriksaan Fisik TD 90/60 mmHg, Nadi 105x/m, RR 33x/m, Tax 38,2. Pemeriksaan GDS 34 mg/dl. Terapi yang tepat untuk kasus ini adalah ...",Bolus dextrose 10%,Bolus dextrose 40%,Bolus dextrose 20%,Rehidrasi,Insulin,B,0
1809,https://www.scribd.com/document/335934418/1001-Soal-Dan-Pembahasan-Ukmppd,Medical Doctor,Indonesian Competency Exam,Healthcare and Medical,"Pasien wanita 50 tahun dibawa ke IGD RS dengan penurunan kesadaran. Riwayat DM sejak 15 tahun. Pemeriksaan Fisik TD 90/60 mmHg, Nadi 105x/m, RR 33x/m, Tax 38,2. Pemeriksaan GDS 34 mg/dl. Kemungkinan penyebab kasus ini adalah ...",Acarbose,Glibenclamide,Metformin,Pioglithazone,Sulfonylurea,E,0
1810,https://www.scribd.com/document/335934418/1001-Soal-Dan-Pembahasan-Ukmppd,Medical Doctor,Indonesian Competency Exam,Healthcare and Medical,"Pasien datang ke IGD dengan keluhan muntah darah sejak 2 hari yang lalu, diikuti dengan BAB berwarna hitam lengket. Pada pemeriksaan fisik didapatkan sclera ikterik, perut membesar, hepar tidak teraba. Pasien telah didiagnosis sirosis hepatis 6 bulan yang lalu. Dari pemeriksaan lab diketahui pasien menderita hepatitis B. Tidak lama kemudian pasien dinyatakan meninggal oleh dokter. Apa sebab langsung kematian pasien?",Ruptur varises esofagus,Hepatitis B,Sirosis hepar,Melena,Icterik,A,0
1811,https://www.scribd.com/document/335934418/1001-Soal-Dan-Pembahasan-Ukmppd,Medical Doctor,Indonesian Competency Exam,Healthcare and Medical,"Pasien laki-laki 37 tahun datang untuk melakukan kontrol. Riwayat paman hepatitis B, kakak pasien riwayat hepatoma dan HBsAg (+). Apakah pemeriksaan selanjutnya yang perlu dilakukan?",HBe Ag,HBc Ag,Anti HBs,Anti Hbc,HBV DNA,D,0
1812,https://www.scribd.com/document/335934418/1001-Soal-Dan-Pembahasan-Ukmppd,Medical Doctor,Indonesian Competency Exam,Healthcare and Medical,"Pasien datang ke puskesmas dengan keluhan demam tinggi 4 hari. Keluhan disertau mual, muntah, dan nyeri perut. Pemeriksaan fisik didapatkan splenomegali dan ikterus. Hapusan darah ditemukan bentukan seperti cincin, bentukan seperti bintang (starry night) dan gambaran bulan sabit. Apakah kemungkinan parasit penyebab?",Plasmodium falciparum,Plasmodium malaria,Plasmodium ovale,Plasmodium knowlesi,Plasmodium vivax,E,0
1813,https://www.scribd.com/document/335934418/1001-Soal-Dan-Pembahasan-Ukmppd,Medical Doctor,Indonesian Competency Exam,Healthcare and Medical,"Pasien laki-laki 55 tahun dibawa ke IGD dengan keluhan muntah darah dan berak cair berwarna kehitaman. Dari pemeriksaan fisik didapatkan hematemesis melena, ascites, dan gambaran spider naevi. Struktur apakah yang mengalami perdarahan pada kasus di atas?",Vena oesophagica,Vena Gastrica,Vena Mesenterica Superior,Vena Mesenterica Inferior,Vena Azygos Proksimal,A,0
1814,https://www.scribd.com/document/335934418/1001-Soal-Dan-Pembahasan-Ukmppd,Medical Doctor,Indonesian Competency Exam,Healthcare and Medical,"Pasien laki-laki usia 58 tahun dari pemeriksaan fisik didapatkan asites pada abdomen, edema kedua tungkai, dan spider navi. Riwayat mengonsumsi alcohol. Telah dilakukan tirah baring, pembatasan asupan natrium, pemberian furosemid, dan spironolacton, namun tidak ada penurunan BB yang berarti. Yang dilakukan selanjutnya pada pasien adalah ...",Rehidrasi,Acetozolamid,Hemodialisa,Parasintesis terapeutik,Diet rendah garam,D,0
1815,https://www.scribd.com/document/335934418/1001-Soal-Dan-Pembahasan-Ukmppd,Medical Doctor,Indonesian Competency Exam,Healthcare and Medical,Pasien laki-laki 40 tahun datang ke puskesmas dengan edema tungkai bawah. Pasien sudah diobati dengan doksisiklin selama 1 bulan. Dari pemeriksaan fisik didapatkan edema non pitting dan gambaran peau de orange. Diagnosis yang tepat pada kasus di atas adalah ...,Edema idiopatik,Filariasis,Trombosis,Limfedema primer,Limfedema sekunder,B,0
1816,https://www.scribd.com/document/335934418/1001-Soal-Dan-Pembahasan-Ukmppd,Medical Doctor,Indonesian Competency Exam,Healthcare and Medical,"Pasien laki-laki 24 tahun datang dengan keluhan demam. Pasien sering melakukan aktivitas di sungai. Pasien tampak kuning, didapatkan nyeri pada musculus gastrocnemius. Apa diagnosisnya yang mungkin pada kasus di atas?",Leptospirosis,Chikungnya,Demam Dengue,Malaria,Cutaneus larva migran,A,0
1817,https://www.scribd.com/document/335934418/1001-Soal-Dan-Pembahasan-Ukmppd,Medical Doctor,Indonesian Competency Exam,Healthcare and Medical,"Pasien laki-laki 26 tahun, sudah lama menikah namun belum memiliki anak. Dari pemeriksaan fisik didapatkan testis keras dan kecil, pembesaran payudara, dan suara tinggi. Dari pemeriksaan kromosom didapatkan 47XXY. Diagnosa pada pasien ini adalah ...",Sindrom Turner,Sindrom Klinefelter,Sindrom Down,Sindrom Jacobs,Pubertas Prekoks,B,0
1818,https://www.scribd.com/document/335934418/1001-Soal-Dan-Pembahasan-Ukmppd,Medical Doctor,Indonesian Competency Exam,Healthcare and Medical,Pasien wanita 23 tahun datang ke praktik dokter swasta dengan nyeri kolik pada epigastrium sejak 1 jam. Riwayat nyeri muncul setelah makan pedas. Semakin diberi makan semakin nyeri. Diagnosis yang tepat pada pasien ini adalah ...,Ulkus gaster,Ulkus duodenum,Kolelitiasis,Gastritis,Pankreatitis,A,0
1819,https://www.scribd.com/document/335934418/1001-Soal-Dan-Pembahasan-Ukmppd,Medical Doctor,Indonesian Competency Exam,Healthcare and Medical,"Pasien wanita 25 tahun datang ke klinik anda dengan keluhan demam dan mual muntah sejak 4 hari. Pasien merupakan seorang perawat. Pemeriksaan fisik didapatkan hepatomegali, nyeri tekan, dan ikterus. Anti-HBs (+), HbsAg (+), IgM anti-HAV (-). Apakah terapi yang tepat?",Acyclovir,Valacyclovir,Bancyclovir,Lamivudin,Nevirapin,D,0
1820,https://www.scribd.com/document/335934418/1001-Soal-Dan-Pembahasan-Ukmppd,Medical Doctor,Indonesian Competency Exam,Healthcare and Medical,Pasien perempuan usia 26 tahun datang dengan keluhan keluar bercak merah pada muka terutama saat terpapar sinar matahari. Pasien juga mengeluh nyeri sendi. Selain itu pasien juga mengeluh sering lelah dan sariawan pada mulutnya. Ditemukan ruam malar pada wajah. TTV dalam batas normal. Diagnosis yang tepat pada kasus ini adalah?,ITP,SLE,Infeksi HIV,Rheumatoid artritis,DIC,B,0
1821,https://www.scribd.com/document/335934418/1001-Soal-Dan-Pembahasan-Ukmppd,Medical Doctor,Indonesian Competency Exam,Healthcare and Medical,Pasien laki-laki 30 tahun datang ke puskesmas dengan keluhan nyeri perut disertai nyeri otot. Riwayat sering mengonsumsi daging babi. Dari pemeriksaan mikroskopis ditemukan bentukan seperti roda pedati dengan hexacant embryo. Organisme penyebab kelainan di atas adalah ...,Taenia solium,Taenia saginata,Taenia asiatica,Echinococcus granulosus,D. Latum,A,0
